You searched for,Phylum,Class,Order,Family,Genus,Species,Subspecies,Similarity,Status,Process ID
,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Flavobacterium,hydatis,,68.49,Published,GBBAC1903-15
,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Winogradskyella,psychrotolerans,,67.58,Published,GBBAC2007-15
,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Formosa,sp.,,66.67,Published,GBBAC2061-15
,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Flavobacterium,aquatile,,66.67,Published,GBBAC1941-15
,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Flavobacterium,enshiense,,66.21,Published,GBBAC1937-15
,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Cellulophaga,sp.,,65.75,Published,GBBAC2057-15
,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Cellulophaga,baltica,,65.75,Published,GBBAC2055-15
,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Polaribacter,sp.,,65.75,Published,GBBAC2031-15
,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Leeuwenhoekiella,blandensis,,65.75,Published,GBBAC2005-15
,Bacteroidetes,Flavobacteria,Flavobacteriales,Flexibacteraceae,Gramella,forsetii,,65.3,Private,
,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Cellulophaga,baltica,,65.3,Published,GBBAC2059-15
,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Croceibacter,atlanticus,,65.3,Published,GBBAC2047-15
,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Polaribacter,sp.,,65.3,Published,GBBAC2033-15
,Bacteroidetes,Flavobacteria,Flavobacteriales,Flexibacteraceae,Gramella,forsetii,,65.3,Published,GBBAC1953-15
>otu100,Mollusca,Gastropoda,Stylommatophora,Limacidae,Limax,,,81.93,Published,GBMLG16637-13
,Ochrophyta,Raphidophyceae,,,Chattonella,marina var. antiqua,,81.2,Published,JRPAA3140-15
,Ochrophyta,Raphidophyceae,,,Chattonella,marina,,81.2,Published,JRPAA3126-15
,Ochrophyta,Raphidophyceae,,,Chattonella,marina,,81.2,Published,JRPAA3125-15
,Ochrophyta,Raphidophyceae,,,Chattonella,marina var. antiqua,,81.2,Published,JRPAA3120-15
,Ochrophyta,Raphidophyceae,,,Chattonella,marina,,80.34,Published,JRPAA3135-15
,Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,Clytia,gracilis,,80,Published,GBCI6528-17
,Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,Clytia,sp. GL JRH-2014,,79.74,Published,GBCI8326-19
,Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,Clytia,sp. GL JRH-2014,,79.74,Published,GBCI8325-19
,Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,Clytia,sp. GL JRH-2014,,79.74,Published,GBCI8324-19
,Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,Clytia,sp. GL JRH-2014,,79.74,Published,GBCI8323-19
,Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,Clytia,sp. GL JRH-2014,,79.74,Published,GBCI8322-19
,Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,Clytia,sp. GL JRH-2014,,79.74,Published,GBCI8321-19
,Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,Clytia,sp. GL JRH-2014,,79.74,Published,GBCI8320-19
,Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,Clytia,sp. GL JRH-2014,,79.74,Published,GBCI8319-19
,Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,Clytia,sp. GL JRH-2014,,79.74,Published,GBCI8318-19
,Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,Clytia,sp. GL JRH-2014,,79.74,Published,GBCI8317-19
,Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,Clytia,sp. GL JRH-2014,,79.41,Published,GBCI8331-19
,Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,Clytia,sp. GL JRH-2014,,79.41,Published,GBCI8330-19
,Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,Clytia,sp. GL JRH-2014,,79.41,Published,GBCI8329-19
>otu1002,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
>otu1003,Zygomycota,,,,,,,96.4,Private,
,Zygomycota,,,,,,,96.28,Private,
,Zygomycota,,,,,,,95.85,Private,
,Zygomycota,Zygomycetes,Mucorales,Mucoraceae,Parasitella,parasitica,,95.75,Published,JRPAA9862-15
,Zygomycota,Zygomycetes,Mucorales,Mucoraceae,Parasitella,parasitica,,95.75,Published,JRPAA8586-15
,Zygomycota,,,,,,,95.73,Private,
,Zygomycota,,,,,,,95.65,Private,
,Zygomycota,,,,,,,95.31,Private,
,Zygomycota,,,,,,,95.22,Private,
,Zygomycota,,,,,,,95.06,Private,
,Zygomycota,,,,,,,94.98,Private,
,Zygomycota,,,,,,,94.98,Private,
,Arthropoda,Insecta,Hymenoptera,,,,,94.98,Private,
,Zygomycota,,,,,,,94.96,Private,
,Zygomycota,,,,,,,94.96,Private,
,Zygomycota,,,,,,,94.93,Private,
,Zygomycota,,,,,,,94.93,Private,
,Zygomycota,,,,,,,94.93,Private,
,Zygomycota,,,,,,,94.93,Private,
,Zygomycota,,,,,,,94.93,Private,
>otu1008,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Flavobacterium,johnsoniae,,79.85,Private,
,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Flavobacterium,sp.,,76.85,Published,GBBAC1905-15
,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Flavobacterium,sp.,,75.93,Published,GBBAC1911-15
,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Flavobacterium,johnsoniae,,75.93,Published,GBBAC1909-15
,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Flavobacterium,reichenbachii,,75.93,Published,GBBAC1907-15
,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Flavobacterium,sp.,,72.22,Published,GBBAC1901-15
,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Formosa,sp.,,70.98,Published,GBBAC2061-15
,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Flavobacterium,hydatis,,70.37,Published,GBBAC1903-15
,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Leeuwenhoekiella,blandensis,,69.44,Published,GBBAC2005-15
,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Cellulophaga,sp.,,68.98,Published,GBBAC2057-15
,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Cellulophaga,baltica,,68.98,Published,GBBAC2055-15
,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Cellulophaga,baltica,,68.52,Published,GBBAC2059-15
,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Winogradskyella,psychrotolerans,,68.52,Published,GBBAC2007-15
,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Flavobacterium,psychrophilum,,68.5,Private,
,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Cellulophaga,geojensis,,68.5,Published,GBBAC2009-15
,Bacteroidetes,Flavobacteria,Flavobacteriales,Flexibacteraceae,Gramella,forsetii,,68.13,Private,
,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Polaribacter,sp.,,67.42,Published,GBBAC2033-15
,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Polaribacter,sp.,,67.41,Published,GBBAC2031-15
,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Muricauda,ruestringensis,,67.4,Published,GBBAC284-15
,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Flavobacterium,aquatile,,66.67,Published,GBBAC1941-15
>otu1009,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,Gliocladium,viride,,96.76,Published,HTWO005-08
,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,Hypocrea,jecorina,,94.5,Private,
,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,Hypocrea,jecorina,,94.5,Published,HY039-07
,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Metarhizium,anisopliae,,89,Private,
,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Metarhizium,anisopliae,,89,Published,HY040-07
,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,sacchari,,88.5,Published,HY066-07
,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,coeruleum,,88.35,Private,
,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,coeruleum,,88.35,Published,HY043-07
,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,delphinoides,,88.35,Published,HY044-07
,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Cosmospora,gigas,,88.35,Published,JRPAA4677-15
,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,Hypocrea,jecorina,,88.19,Published,GBFBA005-05
,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Nectria,haematococca,,88.03,Published,JRPAA4670-15
,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,concolor,,88.01,Published,HY086-07
,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,cf. avenaceum,,87.95,Published,HY073-07
,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,delphinoides,,87.7,Published,HY068-07
,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Volutella,consors,,87.7,Published,JRPAA4685-15
,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,,,,87.65,Private,
,Ascomycota,,,,,,,87.45,Private,
,Ascomycota,Sordariomycetes,Hypocreales,Bionectriaaceae,Acremonium,chrysogenum,,87.38,Private,
,Ascomycota,Sordariomycetes,Hypocreales,Bionectriaaceae,Acremonium,cf. chrysogenum,,87.38,Published,HY036-07
>otu101,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
>otu1013,Ascomycota,,,,,,,84.31,Private,
,Ascomycota,,,,,,,84.19,Private,
,Ascomycota,Leotiomycetes,,,Synchaetomella,acerina,,83.82,Published,JRPAA5614-15
,Ascomycota,,,,,,,83.82,Private,
,Ascomycota,Ascomycota_class_incertae_sedis,Ascomycota_order_incertae_sedis,Ascomycota_family_incertae_sedis,Verticillium,nonalfalfae,,83.5,Published,GBSP10228-18
,Ascomycota,,,,,,,83.46,Private,
,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,sacchari,,82.93,Published,HY066-07
,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Cylindrodendrum,hubeiense,,82.85,Published,JRPAA4673-15
,Ascomycota,,,,,,,82.58,Private,
,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Penicillium,marneffei,,82.52,Published,GBFBA004-05
,Ascomycota,Sordariomycetes,Hypocreales,Bionectriaaceae,Emericellopsis,minima,,82.52,Private,
,Ascomycota,Sordariomycetes,Hypocreales,Bionectriaaceae,Emericellopsis,minima,,82.52,Published,HY035-07
,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Talaromyces,marneffei,,82.52,Published,JRPAA4120-15
,Ascomycota,Sordariomycetes,Hypocreales,Clavicipitaceae,Lecanicillium,muscarium,,82.2,Published,GBFBA006-05
,Ascomycota,Sordariomycetes,Sordariales,Sordariaceae,Neurospora,crassa,,82.2,Published,GBFBA027-05
,Ascomycota,Sordariomycetes,Hypocreales,Cordycipitaceae,Beauveria,bassiana,,82.2,Private,
,Ascomycota,Sordariomycetes,Hypocreales,Cordycipitaceae,Beauveria,bassiana,,82.2,Published,HY042-07
,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,cf. avenaceum,,82.2,Published,HY046-07
,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,cortaderiae,,82.2,Published,HY049-07
,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,torulosum,,82.2,Published,HY045-07
>otu1016,Arthropoda,Insecta,Orthoptera,Mogoplistidae,,,,85.03,Published,GMABG128-16
,Arthropoda,Insecta,Orthoptera,Gryllidae,,,,84.28,Published,JIEEI420-16
,Arthropoda,Insecta,Orthoptera,Mogoplistidae,,,,83.93,Published,GMMCX062-15
,Arthropoda,Insecta,Orthoptera,,,,,83.69,Published,GBMNC47531-20
,Arthropoda,Insecta,Orthoptera,Tettigoniidae,Tettigonia,cantans,,83.65,Published,GBORT273-14
,Arthropoda,Insecta,Orthoptera,Tettigoniidae,Tettigonia,cantans,,83.65,Published,GBORT231-14
,Arthropoda,Insecta,Orthoptera,Tettigoniidae,Tettigonia,cantans,,83.33,Published,GBMIX706-14
,Arthropoda,Insecta,Orthoptera,,,,,83.27,Private,
,Arthropoda,Insecta,Diptera,Phoridae,,,,83.09,Published,GBMNB17526-20
,Arthropoda,Insecta,Coleoptera,Dytiscidae,Hydroporus,boraeorum,,83.04,Private,
,Arthropoda,Insecta,Diptera,Phoridae,Megaselia,,,83.04,Published,CNLMO224-14
,Arthropoda,Insecta,Orthoptera,Tettigoniidae,Kuwayamaea,sp. 1,,82.91,Published,RBTC222-16
,Arthropoda,Insecta,Orthoptera,Gryllidae,,,,82.91,Published,PLABU890-19
,Arthropoda,Insecta,Orthoptera,Gryllidae,,,,82.91,Published,PLFAA1065-19
,Arthropoda,Insecta,Orthoptera,Gryllidae,,,,82.91,Published,PLFAD1405-19
,Arthropoda,Insecta,Orthoptera,Gryllidae,,,,82.91,Published,PLAAG811-19
,Arthropoda,Insecta,Orthoptera,Gryllidae,,,,82.91,Published,PLFBW423-19
,Arthropoda,Insecta,Orthoptera,Gryllidae,,,,82.91,Published,PLFBX615-19
,Arthropoda,Insecta,Orthoptera,Gryllidae,,,,82.91,Published,PLFBY550-19
,Arthropoda,Insecta,Orthoptera,Gryllidae,,,,82.91,Published,PLFBY542-19
>otu1019,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Flavobacterium,johnsoniae,,79.12,Private,
,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Flavobacterium,reichenbachii,,77.31,Published,GBBAC1907-15
,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Flavobacterium,sp.,,77.31,Published,GBBAC1905-15
,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Flavobacterium,johnsoniae,,76.39,Published,GBBAC1909-15
,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Flavobacterium,sp.,,75.46,Published,GBBAC1901-15
,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Flavobacterium,sp.,,73.61,Published,GBBAC1911-15
,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Cellulophaga,sp.,,71.3,Published,GBBAC2057-15
,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Cellulophaga,baltica,,71.3,Published,GBBAC2055-15
,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Formosa,sp.,,70.98,Published,GBBAC2061-15
,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Cellulophaga,baltica,,70.83,Published,GBBAC2059-15
,Bacteroidetes,Flavobacteria,Flavobacteriales,Flexibacteraceae,Gramella,forsetii,,69.96,Private,
,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Cellulophaga,geojensis,,69.96,Published,GBBAC2009-15
,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Leeuwenhoekiella,blandensis,,69.91,Published,GBBAC2005-15
,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Polaribacter,sp.,,69.66,Published,GBBAC2033-15
,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Flavobacterium,hydatis,,68.98,Published,GBBAC1903-15
,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Flavobacterium,psychrophilum,,68.13,Private,
,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Cellulophaga,algicola,,67.59,Published,GBBAC2051-15
,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Maribacter,sp.,,67.59,Published,GBBAC2049-15
,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Winogradskyella,psychrotolerans,,67.59,Published,GBBAC2007-15
,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Cellulophaga,lytica,,67.13,Published,GBBAC1997-15
>otu102,Arthropoda,Collembola,Symphypleona,Dicyrtomidae,Dicyrtomina,ornata,,92.96,Private,
,Arthropoda,Collembola,Symphypleona,Dicyrtomidae,Dicyrtomina,ornata,,92.31,Private,
,Arthropoda,Collembola,Entomobryomorpha,Paronellidae,,,,84.31,Private,
,Arthropoda,Collembola,Entomobryomorpha,Entomobryidae,,,,84.25,Published,CNPCA056-13
,Arthropoda,Collembola,Symphypleona,Dicyrtomidae,,,,84.21,Published,CNGIC325-12
,Arthropoda,Collembola,Symphypleona,,,,,84.18,Published,GMMCS963-15
,Arthropoda,Collembola,Entomobryomorpha,Entomobryidae,,,,84.17,Published,CNPRT086-15
,Arthropoda,Collembola,Symphypleona,Dicyrtomidae,,,,84.15,Published,GMNCJ025-13
,Arthropoda,Collembola,Symphypleona,Dicyrtomidae,,,,84.15,Published,CNGAJ502-15
,Arthropoda,Collembola,Symphypleona,Dicyrtomidae,,,,83.93,Published,SSPPA1653-15
,Arthropoda,Collembola,Symphypleona,Dicyrtomidae,,,,83.81,Published,GMCVW788-16
,Arthropoda,Collembola,Symphypleona,Dicyrtomidae,,,,83.66,Published,CNGII099-13
,Arthropoda,Collembola,Symphypleona,Dicyrtomidae,,,,83.66,Published,CNGII097-13
,Arthropoda,Collembola,Symphypleona,Dicyrtomidae,,,,83.66,Published,CNGIJ445-13
,Arthropoda,Collembola,Entomobryomorpha,Entomobryidae,,,,83.52,Published,CNPCG152-13
,Arthropoda,Insecta,Lepidoptera,Geometridae,Desmoclystia,oniria,,83.51,Published,PNGTY061-12
,Arthropoda,Insecta,Lepidoptera,Geometridae,Desmoclystia,prodicia,,83.51,Published,PNGTY065-12
,Arthropoda,Collembola,Symphypleona,Dicyrtomidae,,,,83.51,Published,SSROB8229-14
,Arthropoda,Collembola,Symphypleona,Dicyrtomidae,,,,83.51,Published,CNRGM1025-15
,Arthropoda,Collembola,Symphypleona,Dicyrtomidae,,,,83.33,Published,BBCCS054-10
>otu1021,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Penicillium,antarcticum,,97.18,Published,PSP386-05
,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Penicillium,antarcticum,,97.18,Published,PSP387-05
,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Penicillium,antarcticum,,97.18,Published,PSP388-05
,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Penicillium,antarcticum,,97.18,Published,PSP389-05
,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Penicillium,antarcticum,,97.18,Published,PSP352-05
,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Penicillium,antarcticum,,97.18,Published,PSP353-05
,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Penicillium,atramentosum,,96.61,Published,PSP104-05
,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Penicillium,atramentosum,,96.61,Published,PSP135-05
,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Penicillium,atramentosum,,96.61,Published,PSP134-05
,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Penicillium,atramentosum,,96.61,Published,PSP133-05
,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Penicillium,atramentosum,,96.61,Published,PSP132-05
,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Penicillium,atramentosum,,96.61,Published,PSP137-05
,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Penicillium,atramentosum,,96.61,Published,PSP136-05
,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Penicillium,polonicum,,96.08,Published,JRPAA4581-15
,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Penicillium,polonicum,,96.08,Published,JRPAA4580-15
,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Penicillium,polonicum,,96.08,Published,JRPAA4578-15
,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Penicillium,polonicum,,96.08,Published,JRPAA4575-15
,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Penicillium,polonicum,,96.08,Published,JRPAA4568-15
,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Penicillium,polonicum,,96.08,Published,JRPAA4566-15
,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Penicillium,polonicum,,96.08,Published,JRPAA4563-15
>otu1026,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
